team,name,position,matches,goals,assists,status
Wolfsburg,Aster Vranckx,M,0,0,0,Injured
Wolfsburg,Sebastiaan Bornauw,D,0,0,0,Injured
Wolfsburg,Bartosz Bialek,F,0,0,0,Injured
Wolfsburg,Kevin Paredes,M,0,0,0,Injured
Wolfsburg,Niklas Klinger ,G,0,0,0,Injured
Wolfsburg,Lovro Majer ,M,0,0,0,Injured
Wolfsburg,Jakub Kaminski ,M,0,0,0,Injured
Wolfsburg,Rogerio,D,0,0,0,Injured
team,name,position,matches,goals,assists,status
Angers,Sidiki Cherif,M,0,0,0,Injured
Angers,Cedric Hountondji,D,0,0,0,Injured
Angers,Zinedine Ferhat,M,0,0,0,Injured
Auxerre,Ousoumane Camara,M,0,0,0,Injured
Auxerre,Ange Loic N’Gatta ,M,0,0,0,Injured
Brestois,Jonas Martin,M,0,0,0,Injured
Brestois,Pierre Lees-Melou,M,0,0,0,Injured
Brestois,Soumaila Coulibaly,D,0,0,0,Injured
Le Havre,Oussama Targhalline,M,0,0,0,Injured
Le Havre,Yann Kitala,M,0,0,0,Injured
Le Havre,Oualid El Hajjam,D,0,0,0,Injured
Le Havre,Arouna Sangante,M,0,0,0,Injured
Le Havre,Andy Logbo,M,0,0,0,Injured
Lens,Sidi Bane,M,0,0,0,Injured
Lens,Ruben Aguilar,D,0,0,0,Injured
Lens,Martin Satriano,F,0,0,0,Injured
Lens,Wesley Said,F,0,0,0,Injured
Lens,Jimmy Cabot,F,0,0,0,Injured
Lille,Tiago Santos,M,0,0,0,Injured
Lille,Ethan Mbappe,M,0,0,0,Injured
Lille,Nabil Bentaleb,M,0,0,0,Injured
Lille,Samuel Umtiti,D,0,0,0,Injured
Lille,Andre Gomes ,M,0,0,0,Injured
Lille,Angel Gomes,M,0,0,0,Injured
Lyon,Mahamadou Diawara,M,0,0,0,Injured
Marseille,Amine Harit,M,0,0,0,Doubtful
Marseille,Valentin Carboni,M,0,0,0,Injured
Marseille,Faris Moumbagna,F,0,0,0,Injured
Marseille,Ruben Blanco,G,0,0,0,Injured
Marseille,Pol Lirola,D,0,0,0,Injured
Marseille,Derek Cornelius ,D,0,0,0,Injured
Monaco,Krepin Diatta,F,0,0,0,Injured
Monaco,Edan Diop,M,0,0,0,Injured
Montpellier,Boubakar Kouyaté,D,0,0,0,Injured
Montpellier,Yanis Issoufou,M,0,0,0,Injured
Montpellier,Akor Adams,F,0,0,0,Injured
Montpellier,Khalil Fayad,M,0,0,0,Injured
Montpellier,Lucas Mincarelli ,M,0,0,0,Injured
Nantes,Tino Kadewere,F,0,0,0,Injured
Nice,Morgan Sanson,M,0,0,0,Injured
Nice,Ali Abdi,D,0,0,0,Injured
Nice,Jeremie Boga ,M,0,0,0,Injured
Nice,Dante ,D,0,0,0,Injured
Nice,Antonie Mendy ,D,0,0,0,Injured
Nice,Jonathan Clauss ,D,0,0,0,Injured
PSG,Senny Mayulu,M,0,0,0,Injured
Reims,Abdoul Kone,M,0,0,0,Injured
Reims,Maxime Busi,D,0,0,0,Injured
Reims,Mohammed Daramy,F,0,0,0,Injured
Reims,Joseph Okumu,D,0,0,0,Injured
Rennes,Alidu Seidu,D,0,0,0,Injured
Saint-Etienne,Augustine Boakye,M,0,0,0,Injured
Saint-Etienne,Ben Old,M,0,0,0,Injured
Saint-Etienne,Yvann Macon,D,0,0,0,Injured
Saint-Etienne,Mickael Nade,D,0,0,0,Injured
Saint-Etienne,Anthony Briancon,M,0,0,0,Injured
Strasbourg,Ismael Doukoure,M,0,0,0,Injured
Strasbourg,Caleb Wiley,M,0,0,0,Injured
Strasbourg,Emanuel Emegha,F,0,0,0,Injured
Strasbourg,Alaa Bellaarouch,M,0,0,0,Injured
Strasbourg,Thomas Delaine,D,0,0,0,Injured
Strasbourg,Moise Sahi Dion,F,0,0,0,Injured
Toulouse,Rasmus Nicolaise,D,0,0,0,Injured
team,name,position,matches,goals,assists,status
Alanyaspor,Furkan Bayir ,D,0,0,0,Injured
Antalyaspor,Bahadir Ozturk,D,0,0,0,Injured
Antalyaspor,Emrecan Uzunhan,M,0,0,0,Doubtful
Besiktas,ernest Muci ,M,0,0,0,Injured
Besiktas,Necip Uysal ,M,0,0,0,Injured
Bodrumspor,Christophe Herelle,D,0,0,0,Doubtful
